
; ＥＶ／０１日目／夜２／神社
;s[2436] = "背景／夜空"
;s[2143] = "04_孤独_05_TD_4416_ST_BPM80"
;s[2437] = "効果音／足音／土"
m[1715] = "　　Tch, tch, tch……" 
m[1716] = "At every step, the sensation of soft soil"
m[1717] = "and of pebbles is taken in."
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[1007] = "明人"
m[1718] = "（I thought I'd go back to my parents' house "
m[1719] = "　like that, but I somehow missed the timing……）"
m[1720] = "If he rings the bell, he will be able to see his sister-in-law……"
m[1721] = "Miyuri."
m[1722] = "This should have been the most pleasurable thing, and yet,"
m[1723] = "his feet were not carrying him to the natural direction."
;s[2438] = "背景／山道／消灯"
;s[2211] = "明人／フッ"
m[1724] = "（Still, I'm dragging along the unrequited love of that time,"
m[1725] = "　I can't let go……）"
m[1726] = "Clear air delivers the moonlight to the ground."
m[1727] = "In the light illuminating the forward path, Akito carried "
m[1728] = "various feelings, and treaded step by step."
;s[1007] = "明人"
m[1729] = "（I can see the path with the moonlight……）"
;s[2211] = "明人／フッ"
m[1730] = "（The air here is clear and pleasant.）"
;s[2267] = "背景／神社／消灯"
m[1731] = "He ascends the mountain path and comes out to an open place."
m[1732] = "There, reaching the high ground, stands the Shito shrine with a"
m[1733] = "solemn atmosphere." ; thats the short version
;s[1007] = "明人"
m[1734] = "（Since times past, I come here"
m[1735] = "　and then I calm down.）"
;s[2211] = "明人／フッ"
m[1736] = "（When dad and mom died,"
m[1737] = "　I came here too……）"
m[1738] = "He sits on the bench installed here, he overlooks the city,"
m[1739] = "and can see a lot of lights glittering."
m[1740] = "Thinking about how there was a home for each of these lights,"
m[1741] = "and people living there, Akito's heart gradually warmed itself."
;s[1007] = "明人"
m[1742] = "「Family……I wonder.」"
;s[1007] = "明人"
m[1743] = "（I have no parents, my only blood tie"
m[1744] = "　is my older brother……）"
;s[1007] = "明人"
m[1745] = "（If I were to say such a thing,"
m[1746] = "　I'd be scolded again by my sister-in-law）"
;s[2211] = "明人／フッ"
m[1747] = "（Even for me, family……or what you could call it）"
