
; ＥＶ／０２日目／昼１／商店街
;s[2600] = "商店街／午前"
;s[2144] = "05_楽しい_06_TD_4416_ST_BPM115"
m[2467] = "The shopping district, during day, was crowded,"
m[2468] = "due to housewifes buying wholesale for dinner."
m[2469] = "In this town without a large shopping center, the fish shop "
m[2470] = "and the greengrocer, the liquor store and the butcher,"
m[2471] = "even now it was a battlefront."
;s[1008] = "海夕里"
;s[2601] = "外出着／Ｂ"
;s[2459] = "海夕里／笑顔"
;s[2459] = "海夕里／笑顔"
;s[2602] = "10199"
m[2472] = "「……Thank you very much."
m[2473] = "　With this, I think we've purchased all the ingredients.」"
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[1007] = "明人"
m[2474] = "「It's become a fair amount."
m[2475] = "　Usually, you come with my brother?」"
;s[1008] = "海夕里"
;s[2603] = "10200"
m[2476] = "「No. I always come alone. It's food for 2 people,"
m[2477] = "　but I can carry everything myself.」"
;s[2604] = "海夕里／苦笑"
;s[2605] = "10201"
m[2478] = "「Besides, Kazuto-san is busy with work so……」"
;s[1007] = "明人"
m[2479] = "「…………」"
;s[2211] = "明人／フッ"
m[2480] = "「I see."
m[2481] = "　But for summer, you don't have to worry.」"
;s[2216] = "明人／笑いＴ"
m[2482] = "「Because I'm here!」"
;s[2465] = "海夕里／笑顔＋"
;s[2606] = "10202"
m[2483] = "「Ufufu……That's promising♀」"
m[2484] = "You could have looked all around, there was no"
m[2485] = "woman as pretty as Miyuri."
m[2486] = "While Akito was immersed in a sense of superiority,"
m[2487] = "he was holding large plastic bags."
;s[2471] = "海夕里／困り＋"
;s[2607] = "10203"
m[2488] = "「Not too heavy?　I can carry half of it?」"
m[2489] = "While fawning over the apologetic Miyuri,"
m[2490] = "Akito picked up the grips."
;s[1007] = "明人"
;s[145] = "通常"
;s[2199] = "明人／笑顔"
m[2491] = "「It's fine for now."
m[2492] = "　I can carry your load.」"
;s[2541] = "海夕里／照れ"
;s[2608] = "10204"
m[2493] = "「No, it's fine."
m[2494] = "　Since both your arms are busy, I can't"
m[2495] = "　link arms with you so」"
;s[2220] = "明人／驚き＋"
m[2496] = "「U……」"
;s[2233] = "明人／真剣＋"
m[2497] = "（Crap……"
m[2498] = "　My heart is pounding so hard I can hear it……）"
;s[2471] = "海夕里／困り＋"
;s[2609] = "10205"
m[2499] = "「What's the matter?　You're making a serious face suddenly……」"
;s[2246] = "明人／笑顔＋"
m[2500] = "「N-nothing."
m[2501] = "　Just thinking a little……」"
;s[2473] = "海夕里／悲しい"
;s[2610] = "10206"
m[2502] = "「Perhaps, you're bored, being with me……?」"
;s[2229] = "明人／驚き"
m[2503] = "「Uh……?」"
m[2504] = "Miyuri's face became gloomy, and Akito hurried to deny."
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[2216] = "明人／笑いＴ"
m[2505] = "「It's very fun!"
m[2506] = "　A time of happiness, that it is!」"
;s[2591] = "海夕里／通常＋"
;s[2611] = "10207"
m[2507] = "「Come on……. You're lying. Ufufu……」"
;s[1007] = "明人"
;s[145] = "通常"
;s[1007] = "明人"
m[2508] = "（No. It's my true feelings……）"
m[2509] = "Men passersby stop moving whenever they see Miyuri."
m[2510] = "Akito becomes proud of the sister whose every single move, "
m[2511] = "no matter how trivial, gathers attention."
;s[1007] = "明人"
;s[145] = "通常"
;s[1007] = "明人"
m[2512] = "（As I thought, in this town, Miyuri-san is special."
m[2513] = "　Well, it's understandable.）"
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[1007] = "明人"
m[2514] = "（Even though she's not a model, with her good looks,"
m[2515] = "　a second look is necessary……）"
;s[2459] = "海夕里／笑顔"
;s[2612] = "10208"
m[2516] = "「〜♪」"
m[2517] = "The person in question was completely unbothered by men's stares,"
m[2518] = "enjoyed her shopping with Akito and looked in high spirits."
m[2519] = "But Akito felt the piercing jealous stares"
m[2520] = "directed to him."
;s[1007] = "明人"
;s[145] = "通常"
;s[2202] = "明人／困り＋"
m[2521] = "（Uuu……the stares are piercing）" 
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[2211] = "明人／フッ"
m[2522] = "（But here I accept the challenge."
m[2523] = "　Looks of such jealousy"
m[2524] = "　are rather pleasant!）"
;s[1007] = "明人"
;s[145] = "通常"
;s[2613] = "明人／通常"
m[2525] = "（The sense of superiority of keeping Miyuri-san to myself"
m[2526] = "　if comparing to it, how to put it……）"
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[1007] = "明人"
m[2527] = "（……Mm?）"
;s[1013] = "武雄"
;s[1103] = "外出着"
;s[2614] = "武雄／真剣"
;s[1007] = "明人"
;s[145] = "通常"
;s[2265] = "明人／真剣"
m[2528] = "（That guy……"
m[2529] = "　For some time, he's been watching this way.）"
;s[1008] = "海夕里"
;s[2615] = "10209"
m[2530] = "「Ah!　Akito-kun, look?」"
m[2531] = "He was forcefully tugged by the arm by Miyuri, and his awareness returned."
m[2532] = "Then, the next moment the dubious man was gone."
;s[1007] = "明人"
;s[2195] = "通常／Ｂ"
;s[1007] = "明人"
m[2533] = "「……What was that?」"
;s[2459] = "海夕里／笑顔"
;s[2459] = "海夕里／笑顔"
;s[2616] = "10210"
m[2534] = "「That shop……it looks like it has new swimsuits.」"
;s[1008] = "海夕里"
;s[2617] = "10211"
m[2535] = "「Wonderful design……."
m[2536] = "　This year I should buy a replacement maybe?」"
;s[1007] = "明人"
;s[145] = "通常"
;s[2229] = "明人／驚き"
m[2537] = "「Uh?　How many swimsuits "
m[2538] = "　did you have again?」"
;s[2596] = "海夕里／ペロ＋"
;s[2618] = "10212"
m[2539] = "「I know but……."
m[2540] = "　Lately, my chest size is not matching anymore.」"
m[2541] = "As Miyuri fired those words without hesitation,"
m[2542] = "Akito's face became hot."
;s[2220] = "明人／驚き＋"
m[2543] = "「C-c-chest size, you say……」"
;s[1008] = "海夕里"
;s[2619] = "10213"
m[2544] = "「My waist size is not a problem though,"
m[2545] = "　it's just my chest……」"
m[2546] = "Akito looked at the anew Miyuri's chest, "
m[2547] = "and his brain was fried by that big swelling."
;s[2220] = "明人／驚き＋"
m[2548] = "（It's still growing!?）"
;s[2233] = "明人／真剣＋"
m[2549] = "（Now that you mention it, compared to when we met last year,"
m[2550] = "　the volume has increased I think……）"
m[2551] = "If the bust, big from the start, has expanded any further,"
m[2552] = "then an average swimsuit can't contain it."
m[2553] = "While Akito stole a glance at the line of Miyuri's"
m[2554] = "bulging chest, his pulsation quickened even more."
;s[2598] = "海夕里／笑い＋"
;s[2620] = "10214"
m[2555] = "「Oh, right. If you'd like, you could"
m[2556] = "　pick the swimsuit for me?」"
;s[2220] = "明人／驚き＋"
m[2557] = "「Huh!?」"
